Name	gene_id
NBRY_ACER3_0001	Acer3
NBRY_ACER3_0002	Acer3
NBRY_ACE_0001	Ace
NBRY_ACHE_0001	Ache
NBRY_ACIN1_0001	Acin1
NBRY_ACKR1_0001	Ackr1
NBRY_ACKR2_0001	Ackr2
NBRY_ACKR3_0001	Ackr3
NBRY_ACLY_0001	Acly
NBRY_ACMSD_0001	Acmsd
NBRY_ACNAT2_0001	Acnat2
NBRY_ACNAT2_0002	Acnat2
NBRY_ACO1_0001	Aco1
NBRY_ACO2_0001	Aco2
NBRY_ACO2_0002	Aco2
NBRY_ACOD1_0001	Acod1
NBRY_ACOT11_0001	Acot11
NBRY_ACOT12_0001	Acot12
NBRY_ACOT13_0001	Acot13
NBRY_ACOT1_0001	Acot1
NBRY_ACOT1_0002	Acot1
NBRY_ACOT1_0003	Acot1
NBRY_ACOT2_0001	Acot2
NBRY_ACOT4_0001	Acot4
NBRY_ACOT6_0001	Acot6
NBRY_ACOT7_0001	Acot7
NBRY_ACOT7_0002	Acot7
NBRY_ACOT7_0003	Acot7
NBRY_ACOT8_0001	Acot8
NBRY_ACOT9_0001	Acot9
NBRY_ACOX1_0001	Acox1
NBRY_ACOX2_0001	Acox2
NBRY_ACOX3_0001	Acox3
NBRY_ACOXL_0001	Acoxl
NBRY_ACOXL_0002	Acoxl
NBRY_ACP1_0001	Acp1
NBRY_ACP2_0001	Acp2
NBRY_ACP4_0001	Acp4
NBRY_ACP5_0001	Acp5
NBRY_ACP6_0001	Acp6
NBRY_ACP7_0001	Acp7
NBRY_ACPP_0001	Acpp
NBRY_ACRBP_0001	Acrbp
NBRY_ACR_0001	Acr
NBRY_ACSBG1_0001	Acsbg1
NBRY_ACSBG2_0001	Acsbg2
NBRY_ACSF2_0001	Acsf2
NBRY_ACSF2_0002	Acsf2
NBRY_ACSF3_0001	Acsf3
NBRY_ACSL1_0001	Acsl1
NBRY_ACSL3_0001	Acsl3
NBRY_ACSL4_0001	Acsl4
NBRY_ACSL5_0001	Acsl5
NBRY_ACSL6_0001	Acsl6
NBRY_ACSM1_0001	Acsm1
NBRY_ACSM2_0001	Acsm2
NBRY_ACSM3_0001	Acsm3
NBRY_ACSM4_0001	Acsm4
NBRY_ACSM5_0001	Acsm5
NBRY_ACSS1_0001	Acss1
NBRY_ACSS2_0001	Acss2
NBRY_ACSS3_0001	Acss3
NBRY_ACTA1_0001	Acta1
NBRY_ACTA1_0002	Acta1
NBRY_ACTA2_0001	Acta2
NBRY_ACTBL2_0001	Actbl2
NBRY_ACTB_0001	Actb
NBRY_ACTB_0002	Actb
NBRY_ACTB_0003	Actb
NBRY_ACTB_0004	Actb
NBRY_ACTB_0005	Actb
NBRY_ACTB_0006	Actb
NBRY_ACTB_0007	Actb
NBRY_ACTB_0008	Actb
NBRY_ACTB_0009	Actb
NBRY_ACTB_0010	Actb
NBRY_ACTB_0011	Actb
NBRY_ACTB_0012	Actb
NBRY_ACTC1_0001	Actc1
NBRY_ACTE1_0001	Acte1
NBRY_ACTG1_0001	Actg1
NBRY_ACTG1_0002	Actg1
NBRY_ACTG1_0003	Actg1
NBRY_ACTG1_0004	Actg1
NBRY_ACTG1_0005	Actg1
NBRY_ACTG1_0006	Actg1
NBRY_ACTG1_0007	Actg1
NBRY_ACTG1_0008	Actg1
NBRY_ACTG2_0001	Actg2
NBRY_ACTL10_0001	Actl10
NBRY_ACTL11_0001	Actl11
NBRY_ACTL6A_0001	Actl6a
NBRY_ACTL6B_0001	Actl6b
NBRY_ACTL7A_0001	Actl7a
NBRY_ACTL7B_0001	Actl7b
NBRY_ACTL9B_0001	Actl9b
NBRY_ACTL9_0001	Actl9
NBRY_ACTN1_0001	Actn1
NBRY_ACTN2_0001	Actn2
NBRY_ACTN3_0001	Actn3
NBRY_ACTN4_0001	Actn4
NBRY_ACTR10_0001	Actr10
NBRY_ACTR1A_0001	Actr1a
NBRY_ACTR1B_0001	Actr1b
NBRY_ACTR2_0001	Actr2
NBRY_ACTR2_0002	Actr2
NBRY_ACTR2_0003	Actr2
NBRY_ACTR2_0004	Actr2
NBRY_ACTR3B_0001	Actr3b
NBRY_ACTR3_0001	Actr3
NBRY_ACTR3_0002	Actr3
NBRY_ACTR5_0001	Actr5
NBRY_ACTR6_0001	Actr6
NBRY_ACTR8_0001	Actr8
NBRY_ACTRT1_0001	Actrt1
NBRY_ACTRT2_0001	Actrt2
NBRY_ACTRT3_0001	Actrt3
NBRY_ACVR1B_0001	Acvr1b
NBRY_ACVR1C_0001	Acvr1c
NBRY_ACVR1_0001	Acvr1
NBRY_ACVR2A_0001	Acvr2a
NBRY_ACVR2B_0001	Acvr2b
NBRY_ACVR2B_0002	Acvr2b
NBRY_ACVR2B_0003	Acvr2b
NBRY_ACVR2B_0004	Acvr2b
NBRY_ACVR2B_0005	Acvr2b
NBRY_ACVR2B_0006	Acvr2b
NBRY_ACVR2B_0007	Acvr2b
NBRY_ACVR2B_0008	Acvr2b
NBRY_ACVR2B_0009	Acvr2b
